jd_utc,ra_deg,dec_deg,magnitude,band,obs_code,sigma_ra_arcsec,sigma_dec_arcsec,source,designation
2460790.7245542207,203.86477109310744,-4.044431632386921,18.149897230509787,r,F51,0.35,0.35,extended_ATLAS_Hawaii,
2460790.8295962485,204.34006701937267,-3.9437523489004973,18.742524181430706,r,T08,0.35,0.35,extended_ATLAS_Chile,
2460792.7102746884,204.3506891833828,-4.022647622825215,16.85426237018551,r,C51,1.5,1.5,extended_NEOWISE,
2460792.7301875087,204.07977733535108,-4.155023820906719,18.92162294841443,r,K91,0.3,0.3,extended_LCOGT,
2460793.278726755,203.90450238142418,-4.191002599967258,17.861507644995836,r,K91,0.3,0.3,extended_LCOGT,
2460793.9315306614,203.94369171322248,-4.259518490057303,17.35471305944793,r,I41,0.18,0.18,extended_ZTF,
2460793.9507514145,203.40304703622206,-3.8732798363393703,18.722141091667122,r,I41,0.18,0.18,extended_ZTF,
2460794.193778192,204.08536769726624,-4.262011789140426,19.176882043869064,r,C51,1.5,1.5,extended_NEOWISE,
2460795.05079739,203.8234616478206,-4.169175547759258,16.780329796569298,r,T05,0.35,0.35,extended_ATLAS_SA,
2460795.5970232063,203.8878226918887,-4.611384735615135,19.16693505101808,r,691,0.25,0.25,extended_Spacewatch,
2460795.625856838,203.93718757479078,-4.2346130095668535,17.608597913341214,r,C51,1.5,1.5,extended_NEOWISE,
2460796.760605791,204.09788189395096,-4.521723560734467,19.085367216358982,r,F51,0.35,0.35,extended_ATLAS_Hawaii,
2460796.9478238965,203.99134826800653,-4.647425359845733,17.998978110017788,r,W84,0.12,0.12,extended_DECam,
2460799.3284703125,203.69449179332165,-3.8934775757717617,19.698140784250953,r,309,0.1,0.1,extended_VLT,
2460799.4446007498,204.2186400339916,-4.117856210141868,18.51759923608124,r,I41,0.18,0.18,extended_ZTF,
2460799.8573517776,203.43388786722784,-4.280912245834273,18.68550699541554,r,T08,0.35,0.35,extended_ATLAS_archive,
2460800.3112233854,203.40501384930766,-4.208371523693065,19.308560801863948,r,568,0.15,0.15,extended_CFHT,
2460800.7014279864,204.66361032077344,-3.75740114598144,16.928395172338885,r,691,0.25,0.25,extended_Spacewatch,
2460800.8191440837,204.2967883784385,-4.17283151586574,17.731890943230344,r,807,0.15,0.15,extended_SOAR,
2460802.0727285426,203.49718674244411,-4.0873639535849975,17.44534477460191,r,I41,0.18,0.18,extended_ZTF_precovery,
2460803.1995770945,204.50649361164025,-4.1687128103464,15.94296234215018,r,F51,0.25,0.25,extended_PS1,
2460803.4903849987,204.7953848538815,-4.029328061883518,21.09339745861412,r,F51,0.35,0.35,extended_ATLAS_Hawaii,
2460804.017659,288.14829166666664,-18.705916666666667,21.57,V,C57,0.15,0.15,mpc_real_http,0003I
2460804.7978605954,203.46392397112902,-4.109386271036221,17.99151077351014,r,F51,0.25,0.25,extended_PS1,
2460804.85854073,203.83697025671736,-4.165374994614272,18.56620276160989,r,F51,0.25,0.25,extended_PS1,
2460804.909149495,203.83937256746756,-5.033313818330827,18.0406435278856,r,C51,1.5,1.5,extended_NEOWISE,
2460806.103515,287.86287500000003,-18.68936111111111,21.64,V,C57,0.15,0.15,mpc_real_http,0003I
2460806.698625809,204.16122611030667,-4.099072482887221,20.214526604755875,r,I41,0.18,0.18,extended_ZTF,
2460807.5781400576,203.5522891779961,-4.365448340837287,20.88647893255658,r,C51,1.5,1.5,extended_NEOWISE,
2460808.189361,287.5490416666667,-18.68041666666667,21.82,V,C57,0.15,0.15,mpc_real_http,0003I
2460808.1965569723,204.28033265085122,-4.608932029021082,16.875872492722124,r,F51,0.25,0.25,extended_PS1,
2460808.7578512123,204.4625479424975,-4.010550917912549,17.351855579840237,r,691,0.25,0.25,extended_Spacewatch,
2460810.490495,287.17737500000004,-18.6785,21.39,V,C57,0.15,0.15,mpc_real_http,0003I
2460810.7396697104,204.0591961274995,-4.45343064205839,19.908544607232482,r,568,0.08,0.08,extended_Keck,
2460810.921174,287.11766666666665,-18.694277777777778,19.22,r,I41,0.1,0.1,mpc_real_http,0003I
2460811.6593817044,204.06648328485207,-4.048440575085705,19.591195712851434,r,K91,0.3,0.3,extended_LCOGT,
2460812.576322,286.8209583333333,-18.68113888888889,20.81,V,C57,0.15,0.15,mpc_real_http,0003I
2460812.7129157325,204.14730398981462,-3.913883375600203,17.09837032411609,r,F51,0.35,0.35,extended_ATLAS_Hawaii,
2460814.878427913,204.24475290557814,-4.33203634786258,15.965407182935962,r,703,0.4,0.4,extended_Catalina,
2460814.9746665945,204.5454378619401,-4.0342431178313,17.970073966920744,r,568,0.08,0.08,extended_Keck,
2460815.380409172,204.93137334320537,-3.8834936693461244,17.051550850535385,r,K91,0.3,0.3,extended_LCOGT,
2460816.866015,286.04633333333334,-18.701277777777776,20.8,V,C57,0.15,0.15,mpc_real_http,0003I
2460817.5482366257,203.08937499990452,-4.724120502682406,17.501067703456613,r,F51,0.35,0.35,extended_ATLAS_Hawaii,
2460817.873611,285.83204166666667,-18.699694444444443,20.49,g,I41,0.1,0.1,mpc_real_http,0003I
2460817.8738,285.83229166666666,-18.699666666666666,20.52,g,I41,0.1,0.1,mpc_real_http,0003I
2460817.896817,285.8270416666667,-18.699805555555557,20.1,r,I41,0.1,0.1,mpc_real_http,0003I
2460817.897006,285.8270416666667,-18.69977777777778,20.1,r,I41,0.1,0.1,mpc_real_http,0003I
2460818.07214,285.804375,-18.698222222222224,20.52,V,C57,0.15,0.15,mpc_real_http,0003I
2460818.854449401,203.74168910876185,-4.419960840805116,18.472415228796013,r,I41,0.18,0.18,extended_ZTF,
2460819.278263,285.54712500000005,-18.69397222222222,20.49,V,C57,0.15,0.15,mpc_real_http,0003I
2460820.11796674,204.3108526341285,-4.232569057578954,18.32579457639413,r,T08,0.35,0.35,extended_ATLAS_Chile,
2460820.48438,285.27841666666666,-18.691,20.5,V,C57,0.15,0.15,mpc_real_http,0003I
2460820.541892727,203.83188829543874,-4.382027029603832,15.096865302314493,r,I41,0.18,0.18,extended_ZTF,
2460821.690493,284.99983333333336,-18.68986111111111,20.39,V,C57,0.15,0.15,mpc_real_http,0003I
2460822.87706,284.72479166666665,-18.709722222222226,20.29,r,I41,0.1,0.1,mpc_real_http,0003I
2460822.877249,284.7249166666666,-18.709611111111112,20.4,r,I41,0.1,0.1,mpc_real_http,0003I
2460822.896603,284.71216666666663,-18.690666666666665,20.14,V,C57,0.15,0.15,mpc_real_http,0003I
2460824.326103,284.35995833333334,-18.694194444444445,19.92,V,C57,0.15,0.15,mpc_real_http,0003I
2460824.83043623,203.9026735925348,-4.4373258875623485,17.660973366362747,r,T05,0.35,0.35,extended_ATLAS_SA,
2460825.5294193914,204.06434718072114,-4.05096265513046,16.73002751559755,r,T08,0.35,0.35,extended_ATLAS_archive,
2460825.529889,284.05441666666667,-18.699416666666668,20.03,V,C57,0.15,0.15,mpc_real_http,0003I
2460826.73367,283.7413333333333,-18.706833333333332,19.82,V,C57,0.15,0.15,mpc_real_http,0003I
2460827.0551406154,204.54864639064508,-4.099945604047452,18.47338275830567,r,F51,0.25,0.25,extended_PS1,
2460827.262935408,203.24302904888415,-4.340960824267287,18.33131054417261,r,807,0.15,0.15,extended_SOAR,
2460827.937449,283.422,-18.7165,20.25,V,C57,0.15,0.15,mpc_real_http,0003I
2460828.320421958,202.9798459563744,-4.174680096622005,18.550831216612135,r,I41,0.18,0.18,extended_ZTF,
2460829.041922957,203.72477689099358,-4.197621407524545,18.80893416929441,r,F51,0.25,0.25,extended_PS1,
2460829.0904327757,204.43344448662603,-4.046565049835717,17.882088522504336,r,T08,0.35,0.35,extended_ATLAS_archive,
2460830.241070641,204.27999806813915,-3.9197995888351027,17.019084059278573,r,T05,0.35,0.35,extended_ATLAS_SA,
2460830.704268834,204.16187138022457,-4.057724240222116,18.2511924678335,r,I41,0.18,0.18,extended_ZTF,
2460830.795366663,204.1962955662627,-4.384679916077819,17.073629586404934,r,703,0.4,0.4,extended_Catalina,
2460830.861643,282.6120416666667,-18.73286111111111,19.9,r,I41,0.1,0.1,mpc_real_http,0003I
2460830.861829,282.61199999999997,-18.732666666666663,19.91,r,I41,0.1,0.1,mpc_real_http,0003I
2460830.898803,282.60116666666664,-18.73297222222222,20.25,g,I41,0.1,0.1,mpc_real_http,0003I
2460831.1890048035,204.42670223178553,-3.8541917743705336,18.079361878533422,r,I41,0.18,0.18,extended_ZTF,
2460831.7685201303,202.7487338001838,-4.728640271234126,18.08842934736686,r,T08,0.35,0.35,extended_ATLAS_archive,
2460833.7719993754,203.30742568218974,-4.105339136008566,18.28583125867642,r,T05,0.35,0.35,extended_ATLAS_SA,
2460834.2464685645,203.6771429433621,-4.0664236736089725,19.680978914386287,r,703,0.4,0.4,extended_Catalina,
2460834.470253511,203.77421718570923,-3.8972814240414415,17.505923213363964,r,C51,1.5,1.5,extended_NEOWISE,
2460834.840926,281.38725000000005,-18.74438888888889,,,I41,0.1,0.1,mpc_real_http,0003I
2460834.899676,281.36775,-18.74491666666667,19.72,g,I41,0.1,0.1,mpc_real_http,0003I
2460834.899868,281.3677916666667,-18.744861111111113,19.74,g,I41,0.1,0.1,mpc_real_http,0003I
2460835.017167899,203.54885712740167,-4.539145187632129,18.635346165626537,r,T08,0.35,0.35,extended_ATLAS_archive,
2460835.680866207,204.2961710424907,-4.366775046874465,18.77075842633811,r,T08,0.35,0.35,extended_ATLAS_archive,
2460836.842037,280.7258333333333,-18.749583333333337,19.31,r,I41,0.1,0.1,mpc_real_http,0003I
2460836.84222,280.7255416666667,-18.74952777777778,19.53,r,I41,0.1,0.1,mpc_real_http,0003I
2460839.2975383387,204.27861858612013,-4.55241792615748,18.73139021994058,r,T05,0.35,0.35,extended_ATLAS_SA,
2460840.7095825505,203.70627578427474,-3.9630972810100227,18.493482899818176,r,T05,0.35,0.35,extended_ATLAS_SA,
2460840.752037,279.34166666666664,-18.75733333333333,19.58,g,I41,0.1,0.1,mpc_real_http,0003I
2460840.752221,279.341875,-18.757416666666668,19.55,g,I41,0.1,0.1,mpc_real_http,0003I
2460841.1063048365,203.36954285384368,-4.4708552507288895,16.792230053337484,r,G96,0.35,0.35,extended_MtLemmon,
2460842.184225214,204.24795388139157,-4.615518926977745,19.413151848987695,r,T08,0.35,0.35,extended_ATLAS_archive,
2460843.4036057875,203.36548604995923,-4.437815081401129,18.14065339356923,r,568,0.1,0.1,extended_Gemini_N,
2460844.423942319,202.99542915130934,-4.683695443289841,16.739622405534764,r,568,0.1,0.1,extended_Gemini_N,
2460844.617112757,204.78030877313142,-3.703322374804522,18.422738451693085,r,703,0.4,0.4,extended_Catalina,
2460844.858808,277.75458333333336,-18.759722222222223,18.65,r,I41,0.1,0.1,mpc_real_http,0003I
2460844.858997,277.75441666666666,-18.759944444444443,18.62,r,I41,0.1,0.1,mpc_real_http,0003I
2460844.936493,277.722875,-18.76,19.15,g,I41,0.1,0.1,mpc_real_http,0003I
2460844.936675,277.72274999999996,-18.76002777777778,19.09,g,I41,0.1,0.1,mpc_real_http,0003I
2460845.385834796,203.8176731423124,-3.9887871965759953,20.01770933377846,r,309,0.1,0.1,extended_VLT,
2460845.432731029,204.33478080307427,-4.010961975302604,18.223728286571106,r,I41,0.18,0.18,extended_ZTF_precovery,
2460845.7662915997,203.72121643957948,-4.731985948190499,18.80447231314774,r,F51,0.25,0.25,extended_PS1,
2460845.789762107,203.75442420461616,-4.426898903405386,19.168731685595592,r,F51,0.25,0.25,extended_PS1,
2460845.865930042,203.0545015218975,-4.402053739623147,18.892726582697225,r,C51,1.5,1.5,extended_NEOWISE,
2460847.3240107377,203.84483015872868,-4.168277178208249,18.372893504254083,r,C51,1.5,1.5,extended_NEOWISE,
2460847.732222,276.56025,-18.75675,20.21,g,I41,0.1,0.1,mpc_real_http,0003I
2460847.732405,276.5604583333333,-18.75675,20.2,g,I41,0.1,0.1,mpc_real_http,0003I
2460847.8144314997,204.13034552071238,-3.855713177110003,18.134248298117395,r,C51,1.5,1.5,extended_NEOWISE,
2460848.0231109066,203.86311747795222,-4.053227769244391,17.587109854850183,r,691,0.25,0.25,extended_Spacewatch,
2460848.124177,276.3919583333333,-18.75627777777778,18.21,g,E55,0.15,0.15,mpc_real_http,0003I
2460848.124803,276.3919166666667,-18.756305555555556,18.31,g,E55,0.15,0.15,mpc_real_http,0003I
2460848.125416,276.39183333333335,-18.756166666666665,18.12,g,E55,0.15,0.15,mpc_real_http,0003I
2460848.12604,276.39175000000006,-18.756527777777777,18.47,g,E55,0.15,0.15,mpc_real_http,0003I
2460849.0979057094,202.79688540718794,-4.374734097184436,18.12888865762768,r,F51,0.35,0.35,extended_ATLAS_Hawaii,
2460850.7404119526,204.42859248475693,-3.846688350562097,18.742457435487196,r,C51,1.5,1.5,extended_NEOWISE,
2460850.887441,275.16741666666667,-18.745944444444444,18.09,o,W68,0.15,0.15,mpc_real_http,0003IK25N010
2460850.890779,275.1660416666667,-18.746,18.14,o,W68,0.15,0.15,mpc_real_http,0003IK25N010
2460850.906586,275.1589583333333,-18.745972222222225,18.09,o,W68,0.15,0.15,mpc_real_http,0003IK25N010
2460851.286457456,203.20740866911422,-4.30004744422181,18.04994581084532,r,C51,1.5,1.5,extended_NEOWISE,
2460851.573929,274.853375,-18.74277777777778,18.39,c,M22,0.2,0.2,mpc_real_http,0003IK25N010
2460851.575333,274.8530416666666,-18.742972222222225,18.37,c,M22,0.2,0.2,mpc_real_http,0003IK25N010
2460851.59429,274.84404166666667,-18.74275,18.36,c,M22,0.2,0.2,mpc_real_http,0003IK25N010
2460851.7874924224,203.21572683604668,-4.265757810194293,17.034584753174514,r,691,0.25,0.25,extended_Spacewatch,
2460852.0955927665,204.51825716662844,-4.508321519269943,17.698706145754315,r,568,0.08,0.08,extended_Keck,
2460852.5033130506,203.9175529023376,-4.086717553002876,19.216279924932646,r,T08,0.35,0.35,extended_ATLAS_archive,
2460852.520026503,204.4419601957588,-3.9928590226331733,16.4337709593179,r,T08,0.35,0.35,extended_ATLAS_Chile,
2460852.924616737,203.2461286115989,-4.080010505991616,18.810585763418544,r,T08,0.35,0.35,extended_ATLAS_archive,
2460853.739438,273.837,-18.73025,17.84,o,W68,0.15,0.15,mpc_real_http,0003IK25N010
2460853.743947,273.83483333333334,-18.730166666666666,18.02,o,W68,0.15,0.15,mpc_real_http,0003IK25N010
2460853.835289,273.7912083333333,-18.730361111111108,17.97,r,I41,0.1,0.1,mpc_real_http,0003I
2460853.835476,273.791,-18.730361111111108,17.98,r,I41,0.1,0.1,mpc_real_http,0003I
2460854.4284717543,203.7631100826798,-4.318626515861014,17.7605378482568,r,703,0.4,0.4,extended_Catalina,
2460854.792349717,203.46491404625183,-4.09588528720862,16.61650295863342,r,C51,1.5,1.5,extended_NEOWISE,
2460854.792905,273.32812499999994,-18.723166666666664,18.72,g,I41,0.1,0.1,mpc_real_http,0003I
2460854.79309,273.32804166666665,-18.723027777777776,18.7,g,I41,0.1,0.1,mpc_real_http,0003I
2460854.835313,273.3072916666667,-18.722805555555553,,,I41,0.1,0.1,mpc_real_http,0003IK25N010
2460854.950145,273.25124999999997,-18.721805555555555,18.14,c,T05,0.15,0.15,mpc_real_http,0003IK25N010
2460854.953332,273.24945833333334,-18.721638888888886,18.38,c,T05,0.15,0.15,mpc_real_http,0003IK25N010
2460854.959711,273.2464583333333,-18.721666666666664,18.28,c,T05,0.15,0.15,mpc_real_http,0003IK25N010
2460855.8039,272.83091666666667,-18.714583333333337,18.99,g,I41,0.1,0.1,mpc_real_http,0003I
2460855.804088,272.83079166666664,-18.714583333333337,19.0,g,I41,0.1,0.1,mpc_real_http,0003I
2460855.815081,272.82529166666666,-18.714666666666663,18.47,r,I41,0.1,0.1,mpc_real_http,0003I
2460855.815263,272.82525,-18.71452777777778,18.43,r,I41,0.1,0.1,mpc_real_http,0003I
2460855.8856027527,204.04202116597952,-4.477930189865941,16.879563509226234,r,T05,0.35,0.35,extended_ATLAS_SA,
2460856.849965,272.3069583333333,-18.704527777777777,17.98,r,I41,0.1,0.1,mpc_real_http,0003I
2460856.850149,272.3070833333333,-18.70438888888889,17.98,r,I41,0.1,0.1,mpc_real_http,0003I
2460857.71888,271.8652916666667,-18.694472222222224,17.72,o,W68,0.15,0.15,mpc_real_http,0003IK25N010
2460857.722065,271.86370833333336,-18.694472222222224,17.78,o,W68,0.15,0.15,mpc_real_http,0003IK25N010
2460857.729203,271.85999999999996,-18.69436111111111,17.85,o,W68,0.15,0.15,mpc_real_http,0003IK25N010
2460857.764248,271.8419166666667,-18.693833333333338,17.93,o,W68,0.15,0.15,mpc_real_http,0003IK25N010
2460857.846734,271.80037500000003,-18.69286111111111,18.4,G,474,0.5,0.5,mpc_real_http,0003IK25N010
2460857.855413,271.7957916666667,-18.692777777777778,18.2,G,474,0.5,0.5,mpc_real_http,0003IK25N010
2460857.861931,271.7925833333333,-18.69263888888889,18.2,G,474,0.5,0.5,mpc_real_http,0003IK25N010
2460858.0150750773,203.5967690937778,-4.547967446646804,18.35509320142836,r,K91,0.3,0.3,extended_LCOGT,
2460858.34234,271.54475,-18.687944444444444,17.6,G,M45,0.2,0.2,mpc_real_http,0003IK25N010
2460858.34987,271.5407083333333,-18.687916666666663,18.4,G,M45,0.2,0.2,mpc_real_http,0003IK25N010
2460858.35739,271.53670833333337,-18.687916666666663,18.0,G,M45,0.2,0.2,mpc_real_http,0003IK25N010
2460858.378561,271.52591666666666,-18.687416666666667,18.0,V,L01,0.2,0.2,mpc_real_http,0003IK25N010
2460858.380664,271.5247916666667,-18.68738888888889,18.0,V,L01,0.2,0.2,mpc_real_http,0003IK25N010
2460858.388424,271.52083333333337,-18.687333333333335,18.3,V,L01,0.2,0.2,mpc_real_http,0003IK25N010
2460858.390622,271.5196666666667,-18.68725,18.2,V,L01,0.2,0.2,mpc_real_http,0003IK25N010
2460858.40559,271.51200000000006,-18.68691666666667,17.5,G,G02,0.2,0.2,mpc_real_http,0003IK25N010
2460858.4147,271.5072916666667,-18.686833333333333,17.4,G,G02,0.2,0.2,mpc_real_http,0003IK25N010
2460858.42381,271.50254166666673,-18.686555555555557,17.4,G,G02,0.2,0.2,mpc_real_http,0003IK25N010
2460858.42548,271.50175,-18.686833333333333,17.4,G,G00,0.2,0.2,mpc_real_http,0003IK25N010
2460858.427181,271.50125,-18.686722222222222,17.3,G,L65,0.2,0.2,mpc_real_http,0003IK25N010
2460858.42763,271.50058333333334,-18.68691666666667,17.2,G,G00,0.2,0.2,mpc_real_http,0003IK25N010
2460858.42979,271.4995833333333,-18.68647222222222,17.4,G,G00,0.2,0.2,mpc_real_http,0003IK25N010
2460858.43255,271.4979583333333,-18.686805555555555,17.5,G,G00,0.2,0.2,mpc_real_http,0003IK25N010
2460858.43564,271.496375,-18.686777777777777,18.2,G,G00,0.2,0.2,mpc_real_http,0003IK25N010
2460858.436985,271.4957083333333,-18.686777777777777,17.3,G,L65,0.2,0.2,mpc_real_http,0003IK25N010
2460858.43872,271.49479166666663,-18.686611111111112,18.1,G,G00,0.2,0.2,mpc_real_http,0003IK25N010
2460858.43872,271.4950416666667,-18.686666666666667,19.3,G,Z21,0.5,0.5,mpc_real_http,0003IK25N010
2460858.44084,271.4939166666666,-18.686611111111112,19.3,G,Z21,0.5,0.5,mpc_real_http,0003IK25N010
2460858.44295,271.492875,-18.686555555555557,19.0,G,Z21,0.5,0.5,mpc_real_http,0003IK25N010
2460858.460578,271.4835,-18.686416666666663,18.2,G,K62,0.5,0.5,mpc_real_http,0003IK25N010
2460858.462071,271.48270833333333,-18.686444444444444,17.1,G,K62,0.5,0.5,mpc_real_http,0003IK25N010
2460858.466648,271.48025,-18.68638888888889,18.3,G,K62,0.5,0.5,mpc_real_http,0003IK25N010
2460858.467954,271.47945833333335,-18.68636111111111,17.2,G,K62,0.5,0.5,mpc_real_http,0003IK25N010
2460858.480083,271.47366666666665,-18.68572222222222,18.3,V,Y05,0.5,0.5,mpc_real_http,0003IK25N010
2460858.494213,271.46637499999997,-18.685555555555556,18.6,V,Y05,0.5,0.5,mpc_real_http,0003IK25N010
2460858.496167,271.46487499999995,-18.68625,17.9,V,G33,0.5,0.5,mpc_real_http,0003IK25N010
2460858.499676,271.4629166666667,-18.68588888888889,17.9,V,G33,0.5,0.5,mpc_real_http,0003IK25N010
2460858.503185,271.46104166666663,-18.685833333333335,17.8,V,G33,0.5,0.5,mpc_real_http,0003IK25N010
2460858.508044,271.4592083333333,-18.68541666666667,,,Y05,0.5,0.5,mpc_real_http,0003IK25N010
2460858.514095,271.45579166666664,-18.685805555555557,18.38,w,R17,0.5,0.5,mpc_real_http,0003IK25N010
2460858.522545,271.4519583333333,-18.68513888888889,,,X09,0.5,0.5,mpc_real_http,0003IK25N010
2460858.527741,271.448625,-18.68563888888889,18.13,w,R17,0.5,0.5,mpc_real_http,0003IK25N010
2460858.529543,271.44829166666665,-18.68486111111111,,,X09,0.5,0.5,mpc_real_http,0003IK25N010
2460858.541376,271.44154166666664,-18.685472222222224,18.36,w,R17,0.5,0.5,mpc_real_http,0003IK25N010
2460858.555394,271.43420833333334,-18.685222222222222,18.26,w,R17,0.5,0.5,mpc_real_http,0003IK25N010
2460858.56925,271.42691666666667,-18.685083333333335,18.7,V,Y64,0.5,0.5,mpc_real_http,0003IK25N010
2460858.57105,271.42604166666666,-18.685055555555557,18.4,V,Y64,0.5,0.5,mpc_real_http,0003IK25N010
2460858.57249,271.4252916666666,-18.685055555555557,18.5,V,Y64,0.5,0.5,mpc_real_http,0003IK25N010
2460858.5747,271.424125,-18.68497222222222,18.5,V,Y64,0.5,0.5,mpc_real_http,0003IK25N010
2460858.57698,271.42291666666665,-18.68497222222222,18.5,V,Y64,0.5,0.5,mpc_real_http,0003IK25N010
